sep=,
Piramid,21/02/2026 00:00:00
Round 1,,
Number,Type,Time
Interval 1,Rest,03:00
Interval 2,Apnea,03:00
Round 2,,
Number,Type,Time
Interval 1,Rest,03:00
Interval 2,Apnea,02:15
Round 3,,
Number,Type,Time
Interval 1,Rest,03:00
Interval 2,Apnea,02:10
Round 4,,
Number,Type,Time
Interval 1,Rest,03:00
Interval 2,Apnea,04:02
Round 5,,
Number,Type,Time
Interval 1,Rest,03:00
Interval 2,Apnea,03:08
Round 6,,
Number,Type,Time
Interval 1,Rest,03:00
Interval 2,Apnea,06:13
Round 7,,
Number,Type,Time
Interval 1,Cooldown,01:00
Biometrics,,
Time,Interval Time,Interval Type,HR,SpO2
00:00,00:00,Rest,55,98
00:01,00:01,Rest,54,98
00:02,00:02,Rest,54,98
00:03,00:03,Rest,54,98
00:04,00:04,Rest,54,98
00:05,00:05,Rest,54,98
00:06,00:06,Rest,54,98
00:07,00:07,Rest,54,98
00:08,00:08,Rest,54,98
00:09,00:09,Rest,54,98
00:10,00:10,Rest,54,98
00:11,00:11,Rest,54,98
00:12,00:12,Rest,54,98
00:13,00:13,Rest,53,98
00:14,00:14,Rest,53,98
00:15,00:15,Rest,53,98
00:16,00:16,Rest,53,98
00:17,00:17,Rest,53,98
00:18,00:18,Rest,54,98
00:19,00:19,Rest,53,98
00:20,00:20,Rest,53,98
00:21,00:21,Rest,53,98
00:22,00:22,Rest,53,98
00:23,00:23,Rest,53,98
00:24,00:24,Rest,53,98
00:25,00:25,Rest,53,98
00:26,00:26,Rest,52,98
00:27,00:27,Rest,51,98
00:28,00:28,Rest,52,98
00:29,00:29,Rest,53,98
00:30,00:30,Rest,53,98
00:31,00:31,Rest,53,98
00:32,00:32,Rest,53,98
00:33,00:33,Rest,53,98
00:34,00:34,Rest,54,98
00:35,00:35,Rest,54,98
00:36,00:36,Rest,54,98
00:37,00:37,Rest,54,98
00:38,00:38,Rest,55,99
00:39,00:39,Rest,55,99
00:40,00:40,Rest,55,99
00:41,00:41,Rest,55,99
00:42,00:42,Rest,55,99
00:43,00:43,Rest,55,99
00:44,00:44,Rest,55,99
00:45,00:45,Rest,55,99
00:46,00:46,Rest,55,99
00:47,00:47,Rest,55,99
00:48,00:48,Rest,55,99
00:49,00:49,Rest,55,99
00:50,00:50,Rest,54,99
00:51,00:51,Rest,54,99
00:52,00:52,Rest,54,99
00:53,00:53,Rest,54,99
00:54,00:54,Rest,56,99
00:55,00:55,Rest,57,99
00:56,00:56,Rest,59,99
00:57,00:57,Rest,59,99
00:58,00:58,Rest,59,99
00:59,00:59,Rest,59,99
01:00,01:00,Rest,59,99
01:01,01:01,Rest,59,99
01:02,01:02,Rest,65,99
01:03,01:03,Rest,69,99
01:04,01:04,Rest,77,99
01:05,01:05,Rest,78,99
01:06,01:06,Rest,81,99
01:07,01:07,Rest,83,99
01:08,01:08,Rest,80,99
01:09,01:09,Rest,78,99
01:10,01:10,Rest,78,99
01:11,01:11,Rest,78,99
01:12,01:12,Rest,78,99
01:13,01:13,Rest,81,99
01:14,01:14,Rest,83,99
01:15,01:15,Rest,86,99
01:16,01:16,Rest,87,99
01:17,01:17,Rest,87,99
01:18,01:18,Rest,83,99
01:19,01:19,Rest,81,99
01:20,01:20,Rest,81,99
01:21,01:21,Rest,81,99
01:22,01:22,Rest,78,99
01:23,01:23,Rest,76,99
01:24,01:24,Rest,74,99
01:25,01:25,Rest,74,99
01:26,01:26,Rest,75,99
01:27,01:27,Rest,77,99
01:28,01:28,Rest,80,99
01:29,01:29,Rest,81,99
01:30,01:30,Rest,80,99
01:31,01:31,Rest,79,99
01:32,01:32,Rest,79,99
01:33,01:33,Rest,77,99
01:34,01:34,Rest,76,99
01:35,01:35,Rest,77,99
01:36,01:36,Rest,79,99
01:37,01:37,Rest,80,99
01:38,01:38,Rest,81,99
01:40,01:40,Rest,84,99
01:41,01:41,Rest,84,99
